dataset,task,wavelet_type,largest_scale,layers,moments,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,n_pca_mean
PEMS03,DAY,W2,4,1 2 3,1,LR,0.16302136317395727,0.005194678100381195,0.16444124044950614,0.004357145490846299,0.10350499096059954,0.017122686172583747,0.10272347518908367,0.017624617717425725,0.104226931783676,0.027592390754894114,0.16444124044950614,0.004357145490846299,1.0
PEMS03,DAY,W2,4,1 2 3,1,MLP,0.1984231943031536,0.005784727623381741,0.1987116215668113,0.007250762722769261,0.1297186899104254,0.011653847887632213,0.13006578859847898,0.011461570492221443,0.13038392621244585,0.017560502027372568,0.1987116215668113,0.007250762722769261,1.0
PEMS03,DAY,W2,4,1 2 3,1,SVC,0.16419125127161752,0.006164079743129075,0.16600353095779521,0.005558020586332312,0.09668241570214527,0.012851427267197277,0.0955404731890501,0.013172521095802789,0.08724613430954324,0.01355465256195438,0.16600353095779521,0.005558020586332312,1.0
PEMS03,DAY,W2,4,1 2 3,1,XGB,0.20422177009155645,0.0068864867939272875,0.20475109305501368,0.006502527786191687,0.18173255708155112,0.005597737554159408,0.18140350573597513,0.006165204439182481,0.19298077905018823,0.007359143343635506,0.20475109305501368,0.006502527786191687,1.0
PEMS03,HOUR,W2,4,1 2 3,1,LR,0.1860122075279756,0.014008215923206703,0.18867466581358874,0.013404362705215864,0.11617830706585293,0.013803947499133893,0.11498411305664727,0.014686295225117621,0.10177675669477815,0.02051842265168089,0.18867466581358874,0.013404362705215864,1.0
PEMS03,HOUR,W2,4,1 2 3,1,MLP,0.2675991861648016,0.006059947852362229,0.26804551869798543,0.007094308198559749,0.21026408517986656,0.008260253093573844,0.2104863631455142,0.007158649881200167,0.1976392862274276,0.007880381164617284,0.26804551869798543,0.007094308198559749,1.0
PEMS03,HOUR,W2,4,1 2 3,1,SVC,0.16703967446592066,0.009820180873642547,0.16905345911520359,0.010274898217438919,0.09014148215754167,0.007201647771036783,0.089311471092819,0.006652669183031809,0.07609285109138163,0.009427582542933995,0.16905345911520359,0.010274898217438919,1.0
PEMS03,HOUR,W2,4,1 2 3,1,XGB,0.2835707019328586,0.003720432054508588,0.2842350198874335,0.0024499099580719396,0.2502973019792961,0.002745785106720774,0.250237003705287,0.0047576943434956285,0.2556345210286102,0.009603616409834934,0.2842350198874335,0.0024499099580719396,1.0
PEMS03,WEEK,W2,4,1 2 3,1,LR,0.3071719226856562,0.01039856607306049,0.25,0.0,0.11747084681949238,0.003016683136367419,0.1444604580933428,0.008730887660866783,0.07679298067141405,0.0025996415182651224,0.25,0.0,1.0
PEMS03,WEEK,W2,4,1 2 3,1,MLP,0.30701932858596137,0.010509932078846738,0.24989618100305125,0.0002076379938975359,0.11764075162982641,0.0029140321382309952,0.144608810679199,0.008631312682517281,0.08510843350565048,0.015902572824736616,0.24989618100305125,0.0002076379938975359,1.0
PEMS03,WEEK,W2,4,1 2 3,1,SVC,0.3071719226856562,0.01039856607306049,0.25,0.0,0.11747084681949238,0.003016683136367419,0.1444604580933428,0.008730887660866783,0.07679298067141405,0.0025996415182651224,0.25,0.0,1.0
PEMS03,WEEK,W2,4,1 2 3,1,XGB,0.3033062054933876,0.006503126975123923,0.26274136328929065,0.0013675918550617693,0.208351654448293,0.007667554182343904,0.22677197241073963,0.010413080584914367,0.2819291436037983,0.005632545340089249,0.26274136328929065,0.0013675918550617693,1.0
