dataset,task,wavelet_type,largest_scale,layers,moments,model,seed,pca_variance,epochs,batch_size,lr,lr_values,weight_decay,cv_folds,no_grid_search,device,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,best_cv_accuracy,best_params,n_pca
PEMS07,HOUR,W2,4,1 2 3,1,LR,42,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.08502598016060463,0.08665070685240649,0.029147735315112805,0.028296158345499544,0.03703616038699395,0.08665070685240649,0.08736978634788613,"{'C': 10.0, 'lr': 0.001, 'weight_decay': 0.1}",1
PEMS07,HOUR,W2,4,1 2 3,1,LR,43,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.08455361360415682,0.08359031703901527,0.017998361433107544,0.0182240502760218,0.01575842553190753,0.08359031703901527,0.08411836383783156,"{'C': 10.0, 'lr': 0.001, 'weight_decay': 0.1}",1
PEMS07,HOUR,W2,4,1 2 3,1,LR,44,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.08573452999527634,0.08632215619694396,0.01935346806629717,0.018881150718475195,0.013756205237478919,0.08632215619694396,0.0861192288028471,"{'C': 10.0, 'lr': 0.001, 'weight_decay': 0.1}",1
PEMS07,HOUR,W2,4,1 2 3,1,LR,45,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.08006613131790269,0.08612975391498882,0.015461842031619502,0.014345264656882356,0.008724152940035888,0.08612975391498882,0.08766135912773193,"{'C': 0.1, 'lr': 0.001, 'weight_decay': 10.0}",1
PEMS07,HOUR,W2,4,1 2 3,1,LR,56,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.07628719886632027,0.08683863360418419,0.018063613814819055,0.01619260804224483,0.02122819374661233,0.08683863360418419,0.08912040635381673,"{'C': 10.0, 'lr': 0.001, 'weight_decay': 0.1}",1
PEMS07,HOUR,W2,4,1 2 3,1,MLP,42,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.2531884742560227,0.24925249595868046,0.17770570687544443,0.18003993533254486,0.151922279023698,0.24925249595868046,0.23222145231258454,"{'hidden_layer_sizes': (150, 50), 'activation': 'relu', 'alpha': 0.01, 'lr': 0.001, 'weight_decay': 0.01}",1
PEMS07,HOUR,W2,4,1 2 3,1,MLP,43,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.25743977326405293,0.2572336452625252,0.17692759577300857,0.17702821455752726,0.14885835121380356,0.2572336452625252,0.2437682045974844,"{'hidden_layer_sizes': (150, 50), 'activation': 'relu', 'alpha': 0.01, 'lr': 0.001, 'weight_decay': 0.01}",1
PEMS07,HOUR,W2,4,1 2 3,1,MLP,44,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.2593292394898441,0.2536046640094182,0.19339213117131723,0.19880017808699157,0.17613753229082804,0.2536046640094182,0.2392248758700554,"{'hidden_layer_sizes': (150, 50), 'activation': 'relu', 'alpha': 0.01, 'lr': 0.001, 'weight_decay': 0.01}",1
PEMS07,HOUR,W2,4,1 2 3,1,MLP,45,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.2420878601794993,0.24196772389309074,0.17622990615491374,0.17587284780513376,0.1568130159225171,0.24196772389309074,0.24318463158051454,"{'hidden_layer_sizes': (150, 50), 'activation': 'relu', 'alpha': 0.01, 'lr': 0.001, 'weight_decay': 0.01}",1
PEMS07,HOUR,W2,4,1 2 3,1,MLP,56,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.2298063297118564,0.23681723708313127,0.1809700607500094,0.17757305649290425,0.1713699948658658,0.23681723708313127,0.2286369936666887,"{'hidden_layer_sizes': (150, 50), 'activation': 'relu', 'alpha': 0.01, 'lr': 0.001, 'weight_decay': 0.01}",1
PEMS07,HOUR,W2,4,1 2 3,1,XGB,42,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.2775153519130846,0.27472227593078064,0.238516407436405,0.24064265156979886,0.23434099938030117,0.27472227593078064,0.2766566529065041,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 6}",1
PEMS07,HOUR,W2,4,1 2 3,1,XGB,43,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.28247520075578647,0.2815116630195719,0.2457169832132096,0.24666454388713518,0.23697467977177342,0.2815116630195719,0.2758648300015958,"{'n_estimators': 50, 'learning_rate': 0.1, 'max_depth': 6}",1
PEMS07,HOUR,W2,4,1 2 3,1,XGB,44,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.27704298535663674,0.27261286232385146,0.235323660647633,0.23926131800079117,0.2293723313392979,0.27261286232385146,0.2751564238206803,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 6}",1
PEMS07,HOUR,W2,4,1 2 3,1,XGB,45,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.26547000472366555,0.26543102214340575,0.22989791587153077,0.2291127408015637,0.21398984458357173,0.26543102214340575,0.27899108572251197,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 6}",1
PEMS07,HOUR,W2,4,1 2 3,1,XGB,56,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.2749173358526216,0.2812087820738212,0.24251044839256766,0.2378980507907492,0.23647679750448405,0.2812087820738212,0.27832438269069926,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 6}",1
PEMS07,DAY,W2,4,1 2 3,1,LR,42,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.15422768068020784,0.16286685418571384,0.06930284034110037,0.06548587600303173,0.04459175884307444,0.16286685418571384,0.1720718378863476,"{'C': 10.0, 'lr': 0.001, 'weight_decay': 0.1}",1
